bin_lo,bin_hi,n,mean_pred,obs_recall,gap
0.0000,0.1000,0,,,
0.1000,0.2000,0,,,
0.2000,0.3000,0,,,
0.3000,0.4000,0,,,
0.4000,0.5000,0,,,
0.5000,0.6000,0,,,
0.6000,0.7000,0,,,
0.7000,0.8000,0,,,
0.8000,0.9000,0,,,
0.9000,1.0000,39,0.909493,1.000000,0.090507
